Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.2,0.00017,"(-0.00039,0.00072)",0.5601,0.822,"acetolactate synthase, large subunit|acetolactate synthase, large subunit|3-dehydroquinate dehydratase, type I|glucokinase|glucokinase|glucokinase|phosphoglucosamine mutase|nucleotide sugar dehydrogenase|Thioredoxin reductase|thiamine-phosphate diphosphorylase|thiamine-phosphate diphosphorylase|thiamine-phosphate diphosphorylase|hydroxyethylthiazole kinase|6-phosphofructokinase|O-sialoglycoprotein endopeptidase|DNA polymerase I|Glucose-1-phosphate thymidylyltransferase|dTDP-4-dehydrorhamnose reductase|dTDP-glucose 4,6-dehydratase|fructose-1-phosphate kinase|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase|alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase|alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase|alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase|alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase|peptidase T|Uridine kinase|Uridine kinase|Uridine kinase|Uridine kinase|Methionine synthase I (cobalamin-dependent), methyltransferase domain|valyl-tRNA synthetase|anti-sigma F factor|Uroporphyrinogen-III decarboxylase|Uroporphyrinogen-III decarboxylase|branched chain amino acid aminotransferase apoenzyme|branched chain amino acid aminotransferase apoenzyme|branched chain amino acid aminotransferase apoenzyme|argininosuccinate synthase|argininosuccinate synthase|argininosuccinate lyase|argininosuccinate lyase|N-acetyl-gamma-glutamyl-phosphate reductase|N-acetyl-gamma-glutamyl-phosphate reductase|glutamate N-acetyltransferase/amino-acid acetyltransferase|glutamate N-acetyltransferase/amino-acid acetyltransferase|glutamate N-acetyltransferase/amino-acid acetyltransferase|N-acetylglutamate kinase|N-acetylglutamate kinase|acetylornithine aminotransferase apoenzyme|acetylornithine aminotransferase apoenzyme|acetylornithine aminotransferase apoenzyme|ornithine carbamoyltransferase|ornithine carbamoyltransferase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|Beta-glucosidase/6-phospho-beta- glucosidase/beta-galactosid ase|glycerate 2-kinase|glycerol 3-phosphate dehydrogenase (NAD(P)+)|Zn-dependent carboxypeptidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit","pyruvate + 2-oxobutanoate + H+  <-->  (S)-2-aceto-2-hydroxybutanoate + CO2|2 pyruvate + H+  <-->  (S)-2-acetolactate + CO2|3-dehydroquinate  <-->  3-dehydroshikimate + H2O|alpha-D-glucose + ATP  <-->  alpha-D-glucose 6-phosphate + ADP + H+|D-glucopyranose + ATP  <-->  D-glucopyranose 6-phosphate + ADP + H+|beta-D-glucose + ATP  <-->  beta-D-glucose 6-phosphate + ADP + H+|D-glucosamine 1-phosphate  <-->  D-glucosamine 6-phosphate|UDP-alpha-D-glucose + 2 NAD+ + H2O  <-->  UDP-alpha-D-glucuronate + 2 NADH + 3 H+|a reduced thioredoxin + NADP+  <-->  an oxidized thioredoxin + NADPH + H+|4-methyl-5-(2-phosphonooxyethyl)thiazole + 4-amino-2-methyl-5-diphosphomethylpyrimidine + H+  <-->  thiamin phosphate + diphosphate|2-[(2R,5Z)-(2-carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + 4-amino-2-methyl-5-diphosphomethylpyrimidine + 2 H+  <-->  thiamin phosphate + CO2 + diphosphate|2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-diphosphomethylpyrimidine + 2 H+  <-->  thiamin phosphate + CO2 + diphosphate|ATP + 4-methyl-5-(beta-hydroxyethyl)thiazole  <-->  ADP + 4-methyl-5-(2-phosphonooxyethyl)thiazole + H+|ATP + beta-D-fructofuranose 6-phosphate  <-->  ADP + fructose 1,6-bisphosphate + H+|a O-sialoglycoprotein + H2O  <-->  n a peptide|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|alpha-D-glucose 1-phosphate + dTTP + H+  <-->  dTDP-alpha-D-glucose + diphosphate|dTDP-beta-L-rhamnose + NADP+  <-->  dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+|dTDP-alpha-D-glucose  <-->  dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose + H2O|ATP + beta-D-fructofuranose 1-phosphate  <-->  ADP + fructose 1,6-bisphosphate + H+|linoleate + ATP + coenzyme A  <-->  linoleoyl-CoA + AMP + diphosphate|oleate + ATP + coenzyme A  <-->  oleoyl-CoA + AMP + diphosphate|palmitate + ATP + coenzyme A  <-->  palmitoyl-CoA + AMP + diphosphate|a long-chain fatty acid + ATP + coenzyme A  <-->  a long-chain acyl-CoA + AMP + diphosphate|pristanate + ATP + coenzyme A  <-->  pristanoyl-CoA + AMP + diphosphate|a 2-methyl branched 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2-methyl branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate|phytenate + ATP + coenzyme A  <-->  phytenoyl-CoA + AMP + diphosphate|an odd numbered straight chain 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  an odd numbered straight chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate|a 3-methyl-branched 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate|decanoate + ATP + coenzyme A  <-->  decanoyl-CoA + AMP + diphosphate|(15Z)-tetracosenoate + ATP + coenzyme A  <-->  (Z)-15-tetracosenoyl-CoA + AMP + diphosphate|eicosapentaenoate + ATP + coenzyme A  <-->  eicosapentaenoyl-CoA + AMP + diphosphate|octanoate + ATP + coenzyme A  <-->  octanoyl-CoA + AMP + diphosphate|ATP + alpha-linolenate + coenzyme A  <-->  alpha-linolenoyl-CoA + AMP + diphosphate|a 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate|n a 1,4-alpha-D-glucan  <-->  n starch + n H2O|a glucosylated glycogenin  <-->  a glycogen|n alpha-amylose  <-->  n amylopectin + n H2O|n a 1,4-alpha-D-glucan  <-->  a (1,6)-alpha-D-glucosyl-(1,4)-alpha-glucan highly branched + n H2O|a 1,4-alpha-D-glucan  <-->  a glycogen|a tripeptide + H2O  <-->  a dipeptide + a standard alpha amino acid|uridine + GTP  <-->  UMP + GDP + H+|uridine + ATP  <-->  UMP + ADP + H+|cytidine + ATP  <-->  CMP + ADP + H+|cytidine + GTP  <-->  CMP + GDP + H+|L-homocysteine + 5-methyl-tetrahydrofolate  <-->  L-methionine + tetrahydrofolate|a tRNAval + L-valine + ATP + H+  <-->  an L-valyl-[tRNAval] + AMP + diphosphate|a [protein]-(L-serine/L-threonine) + ATP  <-->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+|uroporphyrinogen-III + 4 H+  <-->  coproporphyrinogen III + 4 CO2|uroporphyrinogen-I + 4 H+  <-->  coproporphyrinogen I + 4 CO2|L-valine + 2-oxoglutarate  <-->  L-glutamate + 3-methyl-2-oxobutanoate|L-leucine + 2-oxoglutarate  <-->  L-glutamate + 4-methyl-2-oxopentanoate|L-isoleucine + 2-oxoglutarate  <-->  L-glutamate + (S)-3-methyl-2-oxopentanoate|O-ureidohomoserine + L-aspartate + ATP  <-->  canavaninosuccinate + AMP + diphosphate + H+|L-aspartate + L-citrulline + ATP  <-->  L-arginino-succinate + AMP + diphosphate + H+|canavaninosuccinate  <-->  L-canavanine + fumarate|L-arginino-succinate  <-->  L-arginine + fumarate|an [L-2-aminoadipate carrier protein]-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-->  an [L-2-aminoadipate carrier protein]-L-glutamate 5-phosphate + NADPH + H+|N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-->  N-acetylglutamyl-phosphate + NADPH + H+|L-methionine + acetyl-CoA  <-->  N-alpha-acetyl-L-methionine + coenzyme A + H+|L-glutamate + acetyl-CoA  <-->  N-acetyl-L-glutamate + coenzyme A + H+|L-glutamate + N-acetyl-L-ornithine  <-->  N-acetyl-L-glutamate + L-ornithine|an [L-2-aminoadipate carrier protein]-L-glutamate + ATP  <-->  an [L-2-aminoadipate carrier protein]-L-glutamate 5-phosphate + ADP|N-acetyl-L-glutamate + ATP  <-->  N-acetylglutamyl-phosphate + ADP|an [L-2-aminoadipate carrier protein]-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + an [L-2-aminoadipate carrier protein]-L-glutamate 5-semialdehyde|N-acetyl-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + N-acetyl-L-glutamate 5-semialdehyde|2-oxoglutarate + N-succinyl-L,L-2,6-diaminopimelate  <-->  L-glutamate + N-succinyl-2-amino-6-ketopimelate|L-ornithine + carbamoyl-phosphate  <-->  L-citrulline + phosphate + H+|L-ornithine + carbamoyl-phosphate  <-->  L-citrulline + phosphate + H+|lotaustralin + H2O  <-->  (2R)-2-hydroxy-2-methylbutanenitrile + beta-D-glucose|cis-coumarinic acid-beta-D-glucoside + H2O  <-->  coumarinate + beta-D-glucose|linamarin + H2O  <-->  acetone cyanohydrin + beta-D-glucose|scopolin + H2O  <-->  beta-D-glucose + scopoletin|neolinustatin + H2O  <-->  lotaustralin + beta-D-glucose|linustatin + H2O  <-->  linamarin + beta-D-glucose|taxiphyllin + H2O  <-->  4-hydroxybenzaldehyde + hydrogen cyanide + beta-D-glucose|beta-D-cellobiose + H2O  <-->  2 beta-D-glucose|4-methylumbelliferyl glucoside + H2O  <-->  4-methylumbelliferone + beta-D-glucose|a beta-D glucoside + H2O  <-->  a non glucosylated D-glucose acceptor + beta-D-glucose|N-monoacetylchitobiose 6'-phosphate + H2O  <-->  N-acetyl-D-glucosamine 6-phosphate + D-glucosamine|methyl beta-D-glucoside 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + methanol|salicin 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + salicyl alcohol|arbutin-6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + benzene-1,4-diol|beta-D-cellobiose 6'-phosphate + H2O  <-->  beta-D-glucose + beta-D-glucose 6-phosphate|D-glycerate + NAD(P)+  <-->  hydroxypyruvate + NAD(P)H + H+|sn-glycerol 3-phosphate + NAD(P)+  <-->  dihydroxyacetone phosphate + NAD(P)H + H+|a peptide + H2O  <-->  a standard alpha amino acid + a peptide|luteolin 7-O-beta-D-glucuronide + H2O  <-->  luteolin + beta-D-glucuronate + H+|luteolin 7-O-[beta-D-glucuronosyl-(1,2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide + H2O  <-->  luteolin 7-O-beta-D-diglucuronide + beta-D-glucuronate|a beta-D-glucuronoside + H2O  <-->  D-glucopyranuronate + an alcohol|XLLG xyloglucan oligosaccharide + 2 H2O  <-->  XXXG xyloglucan oligosaccharide + 2 beta-D-galactose|XLXG xyloglucan oligosaccharide + H2O  <-->  XXXG xyloglucan oligosaccharide + beta-D-galactose|XXLG xyloglucan oligosaccharide + H2O  <-->  XXXG xyloglucan oligosaccharide + beta-D-galactose|3'-ketolactose + H2O  <-->  3-keto-beta-D-galactose + beta-D-glucose|alpha-lactose + H2O  <-->  beta-D-galactose + beta-D-glucose|a beta-D-galactoside + H2O  <-->  a non galactosylated galactose acceptor + beta-D-galactose|a double stranded DNA + ATP  <-->  a negatively supercoiled DNA + ADP + phosphate"
ENZRXN1375.1429,0.00015,"(-0.0004,0.00071)",0.591,0.847,Phosphopantothenoylcysteine synthetase/decarboxylase,2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  <-->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2
ENZRXN15W9.1066,0.00024,"(-0.00063,0.00111)",0.5943,0.847,transposase,an insertion sequence element IS30  <-->  an insertion sequence IS30 with integrated transposon
ENZRXNTW6.95,0.00026,"(-0.00068,0.0012)",0.5945,0.847,"NAD(+)/NADH kinase|NAD(+)/NADH kinase|DNA repair protein RecN|DNA repair protein RecN|dihydrodipicolinate synthase|PAP2 family protein|adenosylhomocysteinase|5'-methylthioadenosine phosphorylase|5'-methylthioadenosine phosphorylase domain protein|chaperonin HslO|DNA-directed RNA polymerase, beta subunit","ATP + NAD+  <-->  ADP + NADP+ + H+|ATP + NADH  <-->  ADP + NADPH + H+|(deoxynucleotides)(m) + ATP + (deoxynucleotides)n  <-->  AMP + (deoxynucleotides)(n+m) + diphosphate|(deoxynucleotides)(m) + (deoxynucleotides)(n) + NAD+  <-->  (deoxynucleotides)(n+m) + beta-nicotinamide D-ribonucleotide + AMP|pyruvate + L-aspartate-semialdehyde  <-->  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+|a 1,2-diacyl-sn-glycerol 3-diphosphate + H2O  <-->  a 1,2-diacyl-sn-glycerol 3-phosphate + phosphate + H+|S-adenosyl-L-homocysteine + H2O  <-->  L-homocysteine + adenosine|S-methyl-5'-thioadenosine + phosphate  <-->  adenine + S-methyl-5-thio-alpha-D-ribose 1-phosphate|S-methyl-5'-thioadenosine + phosphate  <-->  adenine + S-methyl-5-thio-alpha-D-ribose 1-phosphate|ATP + H2O  <-->  ADP + phosphate + H+|a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate"
ENZRXN1375.1527,-0.0002,"(-0.00095,0.00055)",0.6,0.847,Aspartyl aminopeptidase,a protein + H2O  <-->  a peptide + a peptide
ENZRXN12MX.382,0.00027,"(-0.00074,0.00128)",0.6064,0.847,"DNA-directed RNA polymerase, beta subunit",a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate
ENZRXN1375.1360,-0.00017,"(-0.00084,0.0005)",0.6193,0.847,ADP-ribose pyrophosphatase,ADP-D-ribose + H2O  <-->  AMP + D-ribofuranose 5-phosphate + 2 H+
ENZRXN1375.1034,0.00014,"(-0.00041,0.00068)",0.628,0.847,ribulose-5-phosphate 3-epimerase,D-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate
ENZRXN1375.1149,0.00018,"(-0.00053,0.00088)",0.6295,0.847,Exonuclease VII small subunit.,a single stranded DNA + H2O  <-->  a ribonucleoside 5'-monophosphate + a single-stranded oligodeoxyribonucleotide
ENZRXN1375.274,-0.0001,"(-0.00053,0.00032)",0.6323,0.847,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,"a 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate"
ENZRXN1375.1413,-0.00022,"(-0.00113,0.00068)",0.6323,0.847,Glycerophosphoryl diester phosphodiesterase,L-1-glycerophosphorylethanolamine + H2O  <-->  sn-glycerol 3-phosphate + ethanolamine + H+
ENZRXN1375.1327,-0.00014,"(-0.00074,0.00045)",0.6356,0.847,Periplasmic protease,a protein + H2O  <-->  a peptide + a peptide
ENZRXN10UK.327,0.00012,"(-0.00039,0.00064)",0.6447,0.847,Argininosuccinate lyase,canavaninosuccinate  <-->  L-canavanine + fumarate
ENZRXN11YK.460,0.00012,"(-0.00039,0.00064)",0.6447,0.847,argininosuccinate lyase,L-arginino-succinate  <-->  L-arginine + fumarate
ENZRXN1748.541,0.00012,"(-0.00039,0.00064)",0.6447,0.847,argininosuccinate lyase,canavaninosuccinate  <-->  L-canavanine + fumarate
